horizon,model,fold,n,peak_n,mae,rmse,mape_nonzero,peak_mae,position_tp,position_fp,position_fn,position_f1,episode_tp,episode_fp,episode_fn,episode_f1,false_alarms_positions,timing_mae_minutes,magnitude_mae,peak_mae_ci95,brier,pr_auc,coverage_0.1,top_coverage_0.1,pinball_0.1,coverage_0.5,top_coverage_0.5,pinball_0.5,coverage_0.9,top_coverage_0.9,pinball_0.9,coverage_0.95,top_coverage_0.95,pinball_0.95,coverage_0.975,top_coverage_0.975,pinball_0.975,pinball_mean
1,s1_day,0,2750,41,38.364,63.42579056733081,97.96406523598694,78.0,22,756,19,0.05372405372405373,16,106,7,0.2206896551724138,756,15.0,3.625,"[8.969531250000001, 126.84933018867925]",,,,,,,,,,,,,,,,,,
1,s1_day,1,2750,140,35.615272727272725,59.17842358648816,79.12813407479734,63.785714285714285,46,156,94,0.26900584795321636,28,57,37,0.37333333333333335,156,15.535714285714286,9.821428571428571,"[14.361606523247744, 107.99398101898102]",,,,,,,,,,,,,,,,,,
1,s1_day,2,2064,235,29.19573643410853,57.463959045190116,78.4056502818182,46.306382978723406,179,209,56,0.5746388443017657,27,15,29,0.5510204081632653,209,56.666666666666664,7.185185185185185,"[10.539420519264349, 95.16865293356341]",,,,,,,,,,,,,,,,,,
1,s2_week,0,2750,41,20.586545454545455,39.393008147501135,39.27745434022046,42.4390243902439,33,675,8,0.08811748998664887,18,88,5,0.27906976744186046,675,33.333333333333336,11.444444444444445,"[16.888636363636365, 76.27419763513512]",,,,,,,,,,,,,,,,,,
1,s2_week,1,2750,140,7.756,11.256303284665158,7.629649488322519,17.521428571428572,14,28,126,0.15384615384615385,7,15,58,0.16091954022988506,28,21.428571428571427,6.285714285714286,"[13.549221698113207, 21.4290273556231]",,,,,,,,,,,,,,,,,,
1,s2_week,2,2064,235,33.445736434108525,62.67840429000315,137.53128057279335,15.374468085106383,229,357,6,0.5578562728380024,31,27,25,0.543859649122807,357,51.774193548387096,8.516129032258064,"[11.118075579862941, 26.477794340663117]",,,,,,,,,,,,,,,,,,
1,s3_day_week_mean,0,2750,41,28.260363636363635,42.72233395054416,67.07106350679457,59.46341463414634,28,1291,13,0.041176470588235294,17,113,6,0.2222222222222222,1291,32.64705882352941,38.588235294117645,"[24.599285714285717, 85.52329818719942]",,,,,,,,,,,,,,,,,,
1,s3_day_week_mean,1,2750,140,20.092545454545455,31.02931898001689,41.50244388288937,39.34642857142857,19,62,121,0.17194570135746606,12,29,53,0.22641509433962265,62,15.0,8.125,"[15.207829762303314, 60.552353896103895]",,,,,,,,,,,,,,,,,,
1,s3_day_week_mean,2,2064,235,30.15358527131783,43.92636655010944,106.05769922637349,28.951063829787234,179,85,56,0.717434869739479,28,3,28,0.6436781609195402,85,43.92857142857143,7.642857142857143,"[9.745660607590676, 54.18234597156398]",,,,,,,,,,,,,,,,,,
4,c1_mid_6_10,0,2746,50,35.18420733187667,57.00181130693644,137.73652144435346,14.779999999999998,50,1092,0,0.08389261744966443,23,106,4,0.2948717948717949,1092,16.304347826086957,9.898550724637682,"[9.408910129641837, 19.01003866814856]",,,,,,,,,,,,,,,,,,
4,c1_mid_6_10,1,2746,140,35.55583879582423,57.2337449929153,130.78162337573536,17.74404761904762,61,144,79,0.3536231884057971,29,37,36,0.44274809160305345,144,13.96551724137931,15.178160919540232,"[15.487954954954954, 19.704525488243608]",,,,,,,,,,,,,,,,,,
4,c1_mid_6_10,2,2059,235,64.15452485025092,84.49419998812628,273.13570043745517,12.017021276595745,195,284,40,0.5462184873949579,37,47,19,0.5285714285714286,284,20.27027027027027,10.905405405405402,"[9.242147854297206, 17.676227044823005]",,,,,,,,,,,,,,,,,,
