horizon,fold,partition,feature,n,missing_n,missing_rate
1,1,raw_validation,labor_day,4231,0,0.0
1,1,raw_validation,production_completed_1h,4231,0,0.0
1,1,raw_validation,production_completed_2h,4231,0,0.0
1,1,raw_validation,production_completed_3h,4231,0,0.0
1,1,raw_validation,production_previous_day_total,4231,0,0.0
1,1,raw_validation,production_same_slot_7d_mean,4231,0,0.0
1,1,raw_validation,cbl_mid_6_10,4231,0,0.0
1,1,raw_validation,cbl_mid_6_10_adjusted,4231,0,0.0
1,1,fit,current,9002,0,0.0
1,1,fit,lag_1,9002,0,0.0
1,1,fit,lag_2,9002,0,0.0
1,1,fit,lag_3,9002,0,0.0
1,1,fit,lag_4,9002,0,0.0
1,1,fit,lag_5,9002,0,0.0
1,1,fit,lag_6,9002,0,0.0
1,1,fit,lag_7,9002,0,0.0
1,1,fit,lag_96,9002,0,0.0
1,1,fit,lag_672,9002,0,0.0
1,1,fit,target_slot_1d_ago,9002,0,0.0
1,1,fit,target_slot_7d_ago,9002,0,0.0
1,1,fit,recent_1_mean,9002,0,0.0
1,1,fit,recent_1_max,9002,0,0.0
1,1,fit,recent_1_std,9002,0,0.0
1,1,fit,recent_4_mean,9002,0,0.0
1,1,fit,recent_4_max,9002,0,0.0
1,1,fit,recent_4_std,9002,0,0.0
1,1,fit,recent_16_mean,9002,0,0.0
1,1,fit,recent_16_max,9002,0,0.0
1,1,fit,recent_16_std,9002,0,0.0
1,1,fit,recent_96_mean,9002,0,0.0
1,1,fit,recent_96_max,9002,0,0.0
1,1,fit,recent_96_std,9002,0,0.0
1,1,fit,recent_4_slope,9002,0,0.0
1,1,fit,peak_count_7d,9002,0,0.0
1,1,fit,since_last_peak_intervals,9002,0,0.0
1,1,fit,target_hour,9002,0,0.0
1,1,fit,target_quarter,9002,0,0.0
1,1,fit,target_weekday,9002,0,0.0
1,1,fit,target_month,9002,0,0.0
1,1,fit,is_offday,9002,0,0.0
1,1,fit,pre_holiday,9002,0,0.0
1,1,fit,post_holiday,9002,0,0.0
1,1,fit,bridge_day,9002,0,0.0
1,1,fit,labor_day,9002,0,0.0
1,1,fit,production_completed_1h,9002,0,0.0
1,1,fit,production_completed_2h,9002,0,0.0
1,1,fit,production_completed_3h,9002,0,0.0
1,1,fit,production_previous_day_total,9002,0,0.0
1,1,fit,production_same_slot_7d_mean,9002,0,0.0
1,1,fit,cbl_mid_6_10,9002,0,0.0
1,1,fit,cbl_mid_6_10_adjusted,9002,0,0.0
1,1,stop,current,2251,0,0.0
1,1,stop,lag_1,2251,0,0.0
1,1,stop,lag_2,2251,0,0.0
1,1,stop,lag_3,2251,0,0.0
1,1,stop,lag_4,2251,0,0.0
1,1,stop,lag_5,2251,0,0.0
1,1,stop,lag_6,2251,0,0.0
1,1,stop,lag_7,2251,0,0.0
1,1,stop,lag_96,2251,0,0.0
1,1,stop,lag_672,2251,0,0.0
1,1,stop,target_slot_1d_ago,2251,0,0.0
1,1,stop,target_slot_7d_ago,2251,0,0.0
1,1,stop,recent_1_mean,2251,0,0.0
1,1,stop,recent_1_max,2251,0,0.0
1,1,stop,recent_1_std,2251,0,0.0
1,1,stop,recent_4_mean,2251,0,0.0
1,1,stop,recent_4_max,2251,0,0.0
1,1,stop,recent_4_std,2251,0,0.0
1,1,stop,recent_16_mean,2251,0,0.0
1,1,stop,recent_16_max,2251,0,0.0
1,1,stop,recent_16_std,2251,0,0.0
1,1,stop,recent_96_mean,2251,0,0.0
1,1,stop,recent_96_max,2251,0,0.0
1,1,stop,recent_96_std,2251,0,0.0
1,1,stop,recent_4_slope,2251,0,0.0
1,1,stop,peak_count_7d,2251,0,0.0
1,1,stop,since_last_peak_intervals,2251,0,0.0
1,1,stop,target_hour,2251,0,0.0
1,1,stop,target_quarter,2251,0,0.0
1,1,stop,target_weekday,2251,0,0.0
1,1,stop,target_month,2251,0,0.0
1,1,stop,is_offday,2251,0,0.0
1,1,stop,pre_holiday,2251,0,0.0
1,1,stop,post_holiday,2251,0,0.0
1,1,stop,bridge_day,2251,0,0.0
1,1,stop,labor_day,2251,0,0.0
1,1,stop,production_completed_1h,2251,0,0.0
1,1,stop,production_completed_2h,2251,0,0.0
1,1,stop,production_completed_3h,2251,0,0.0
1,1,stop,production_previous_day_total,2251,0,0.0
1,1,stop,production_same_slot_7d_mean,2251,0,0.0
1,1,stop,cbl_mid_6_10,2251,0,0.0
1,1,stop,cbl_mid_6_10_adjusted,2251,0,0.0
1,1,cal,current,1480,0,0.0
1,1,cal,lag_1,1480,0,0.0
