fold,target_time,episode_end,intervals,actual_max_excess,predicted_max_pointwise_excess,signed_error,absolute_error,status
2,2021-07-26 15:45:00,2021-07-26 16:00:00,2,5.0,8.212797192610116,3.2127971926101164,3.2127971926101164,evaluated
2,2021-07-26 16:45:00,2021-07-26 16:45:00,1,2.0,2.35721609743486,0.35721609743485994,0.35721609743485994,evaluated
2,2021-07-26 18:15:00,2021-07-26 18:30:00,2,11.0,0.94879334357364,-10.05120665642636,10.05120665642636,evaluated
2,2021-07-26 19:30:00,2021-07-26 19:30:00,1,2.0,0.6596877429023738,-1.3403122570976262,1.3403122570976262,evaluated
2,2021-07-27 08:15:00,2021-07-27 09:00:00,4,32.0,8.217201729675812,-23.782798270324186,23.782798270324186,evaluated
2,2021-07-27 09:45:00,2021-07-27 10:00:00,2,17.0,6.701983299741863,-10.298016700258138,10.298016700258138,evaluated
2,2021-07-27 10:30:00,2021-07-27 12:00:00,7,36.0,8.006358926265749,-27.993641073734253,27.993641073734253,evaluated
2,2021-07-27 13:30:00,2021-07-27 15:00:00,7,24.0,18.603521724833904,-5.396478275166096,5.396478275166096,evaluated
2,2021-07-27 15:45:00,2021-07-27 17:00:00,6,26.0,7.234053444259052,-18.765946555740946,18.765946555740946,evaluated
2,2021-07-27 18:00:00,2021-07-27 18:00:00,1,9.0,0.4758244707880665,-8.524175529211934,8.524175529211934,evaluated
2,2021-07-27 19:45:00,2021-07-27 19:45:00,1,5.0,0.9036514596440384,-4.096348540355962,4.096348540355962,evaluated
2,2021-07-28 08:15:00,2021-07-28 10:00:00,8,29.0,7.11777702868151,-21.88222297131849,21.88222297131849,evaluated
2,2021-07-28 10:30:00,2021-07-28 12:00:00,7,37.0,7.309559585255,-29.690440414744998,29.690440414744998,evaluated
2,2021-07-28 13:15:00,2021-07-28 15:00:00,8,28.0,15.256252529770698,-12.743747470229302,12.743747470229302,evaluated
2,2021-07-28 15:45:00,2021-07-28 16:30:00,4,12.0,6.133899846855579,-5.866100153144421,5.866100153144421,evaluated
2,2021-07-28 18:00:00,2021-07-28 19:00:00,5,15.0,3.439348379467563,-11.560651620532436,11.560651620532436,evaluated
2,2021-07-29 08:30:00,2021-07-29 10:00:00,7,30.0,7.223210714262905,-22.776789285737095,22.776789285737095,evaluated
2,2021-07-29 10:30:00,2021-07-29 12:00:00,7,36.0,6.817860495327079,-29.18213950467292,29.18213950467292,evaluated
2,2021-07-29 13:30:00,2021-07-29 14:00:00,3,31.0,13.676952938338273,-17.323047061661725,17.323047061661725,evaluated
2,2021-07-29 14:30:00,2021-07-29 15:00:00,3,26.0,6.446115160492727,-19.553884839507273,19.553884839507273,evaluated
2,2021-07-29 15:45:00,2021-07-29 16:00:00,2,11.0,5.681205752120095,-5.318794247879905,5.318794247879905,evaluated
2,2021-07-29 18:45:00,2021-07-29 19:00:00,2,5.0,1.338049665968717,-3.6619503340312827,3.6619503340312827,evaluated
2,2021-07-29 19:45:00,2021-07-29 19:45:00,1,6.0,0.6806191182751694,-5.319380881724831,5.319380881724831,evaluated
2,2021-07-30 08:15:00,2021-07-30 10:00:00,8,29.0,8.391691347423768,-20.608308652576234,20.608308652576234,evaluated
2,2021-07-30 10:30:00,2021-07-30 12:00:00,7,37.0,6.696396326040484,-30.303603673959515,30.303603673959515,evaluated
2,2021-07-30 13:15:00,2021-07-30 15:00:00,8,28.0,13.685958718424326,-14.314041281575674,14.314041281575674,evaluated
2,2021-07-30 15:45:00,2021-07-30 16:30:00,4,12.0,6.078031842870816,-5.921968157129184,5.921968157129184,evaluated
2,2021-07-30 18:00:00,2021-07-30 19:00:00,5,15.0,3.9252991165933504,-11.07470088340665,11.07470088340665,evaluated
2,2021-08-09 08:30:00,2021-08-09 09:30:00,5,40.0,0.8106040868589739,-39.18939591314103,39.18939591314103,evaluated
