scenario,fraction,prep_minutes,weight_basis,relative_cost_only,alert_positions,alert_positions_including_duplicate_sources,eligible_unique_source_windows,applied_unique_source_windows,actionable_alert_fraction,actionable_fraction_denominator,load_proxy_total_change,energy_conserved,month,monthly_max_before,monthly_max_after,monthly_max_change,weighted_load_change,new_peak_positions,evaluated_intervals,full_calendar_intervals,observed_fraction_of_full_month,scenario_label,demand_scope
D,0.1,60,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,0,0,0.0,all_h4_alert_positions_including_duplicate_sources,0.0,True,2021-04,182.0,182.0,0.0,0.0,0,1569,2880,0.5447916666666667,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,60,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,0,0,0.0,all_h4_alert_positions_including_duplicate_sources,0.0,True,2021-05,199.0,199.0,0.0,0.0,0,1492,2976,0.5013440860215054,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,60,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,0,0,0.0,all_h4_alert_positions_including_duplicate_sources,0.0,True,2021-06,208.0,208.0,0.0,0.0,0,2431,2880,0.8440972222222223,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,60,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,0,0,0.0,all_h4_alert_positions_including_duplicate_sources,0.0,True,2021-07,217.0,217.0,0.0,0.0,0,1253,2976,0.4210349462365591,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,60,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,0,0,0.0,all_h4_alert_positions_including_duplicate_sources,0.0,True,2021-08,215.0,215.0,0.0,0.0,0,806,2976,0.2708333333333333,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.2,60,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,0,0,0.0,all_h4_alert_positions_including_duplicate_sources,0.0,True,2021-04,182.0,182.0,0.0,0.0,0,1569,2880,0.5447916666666667,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.2,60,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,0,0,0.0,all_h4_alert_positions_including_duplicate_sources,0.0,True,2021-05,199.0,199.0,0.0,0.0,0,1492,2976,0.5013440860215054,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.2,60,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,0,0,0.0,all_h4_alert_positions_including_duplicate_sources,0.0,True,2021-06,208.0,208.0,0.0,0.0,0,2431,2880,0.8440972222222223,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.2,60,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,0,0,0.0,all_h4_alert_positions_including_duplicate_sources,0.0,True,2021-07,217.0,217.0,0.0,0.0,0,1253,2976,0.4210349462365591,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.2,60,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,0,0,0.0,all_h4_alert_positions_including_duplicate_sources,0.0,True,2021-08,215.0,215.0,0.0,0.0,0,806,2976,0.2708333333333333,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.3,60,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,0,0,0.0,all_h4_alert_positions_including_duplicate_sources,0.0,True,2021-04,182.0,182.0,0.0,0.0,0,1569,2880,0.5447916666666667,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.3,60,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,0,0,0.0,all_h4_alert_positions_including_duplicate_sources,0.0,True,2021-05,199.0,199.0,0.0,0.0,0,1492,2976,0.5013440860215054,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.3,60,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,0,0,0.0,all_h4_alert_positions_including_duplicate_sources,0.0,True,2021-06,208.0,208.0,0.0,0.0,0,2431,2880,0.8440972222222223,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.3,60,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,0,0,0.0,all_h4_alert_positions_including_duplicate_sources,0.0,True,2021-07,217.0,217.0,0.0,0.0,0,1253,2976,0.4210349462365591,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.3,60,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,0,0,0.0,all_h4_alert_positions_including_duplicate_sources,0.0,True,2021-08,215.0,215.0,0.0,0.0,0,806,2976,0.2708333333333333,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
C,0.1,60,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,0,0,0.0,all_h4_alert_positions_including_duplicate_sources,0.0,False,2021-04,182.0,182.0,0.0,0.0,0,1569,2880,0.5447916666666667,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
C,0.1,60,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,0,0,0.0,all_h4_alert_positions_including_duplicate_sources,0.0,False,2021-05,199.0,199.0,0.0,0.0,0,1492,2976,0.5013440860215054,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
C,0.1,60,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,0,0,0.0,all_h4_alert_positions_including_duplicate_sources,0.0,False,2021-06,208.0,208.0,0.0,0.0,0,2431,2880,0.8440972222222223,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
C,0.1,60,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,0,0,0.0,all_h4_alert_positions_including_duplicate_sources,0.0,False,2021-07,217.0,217.0,0.0,0.0,0,1253,2976,0.4210349462365591,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
C,0.1,60,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,0,0,0.0,all_h4_alert_positions_including_duplicate_sources,0.0,False,2021-08,215.0,215.0,0.0,0.0,0,806,2976,0.2708333333333333,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
C,0.2,60,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,0,0,0.0,all_h4_alert_positions_including_duplicate_sources,0.0,False,2021-04,182.0,182.0,0.0,0.0,0,1569,2880,0.5447916666666667,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
C,0.2,60,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,0,0,0.0,all_h4_alert_positions_including_duplicate_sources,0.0,False,2021-05,199.0,199.0,0.0,0.0,0,1492,2976,0.5013440860215054,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
C,0.2,60,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,0,0,0.0,all_h4_alert_positions_including_duplicate_sources,0.0,False,2021-06,208.0,208.0,0.0,0.0,0,2431,2880,0.8440972222222223,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
C,0.2,60,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,0,0,0.0,all_h4_alert_positions_including_duplicate_sources,0.0,False,2021-07,217.0,217.0,0.0,0.0,0,1253,2976,0.4210349462365591,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
C,0.2,60,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,0,0,0.0,all_h4_alert_positions_including_duplicate_sources,0.0,False,2021-08,215.0,215.0,0.0,0.0,0,806,2976,0.2708333333333333,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
