origin,source_hour,destination_hour,status,production
2021-07-08 18:15:00,2021-07-08 19:00:00,,no_future_low_band_window,5585
2021-07-09 07:15:00,2021-07-09 08:00:00,,no_future_low_band_window,564
2021-07-09 08:15:00,2021-07-09 09:00:00,,no_future_low_band_window,565
2021-07-09 09:15:00,2021-07-09 10:00:00,,no_future_low_band_window,1753
2021-07-09 10:15:00,2021-07-09 11:00:00,,no_future_low_band_window,1082
2021-07-09 12:15:00,2021-07-09 13:00:00,,no_future_low_band_window,1119
2021-07-09 13:15:00,2021-07-09 14:00:00,,no_future_low_band_window,2229
2021-07-09 14:45:00,2021-07-09 15:00:00,,no_future_low_band_window,774
2021-07-09 15:15:00,2021-07-09 16:00:00,,no_future_low_band_window,1881
2021-07-09 16:45:00,2021-07-09 17:00:00,,no_future_low_band_window,955
2021-07-09 17:15:00,2021-07-09 18:00:00,,no_future_low_band_window,1186
2021-07-09 18:15:00,2021-07-09 19:00:00,,no_future_low_band_window,3718
2021-07-12 07:30:00,2021-07-12 08:00:00,,no_future_low_band_window,522
2021-07-12 08:15:00,2021-07-12 09:00:00,,no_future_low_band_window,498
2021-07-12 09:30:00,2021-07-12 10:00:00,,no_future_low_band_window,1883
2021-07-12 10:15:00,2021-07-12 11:00:00,,no_future_low_band_window,1127
2021-07-12 12:15:00,2021-07-12 13:00:00,,no_future_low_band_window,676
2021-07-12 13:15:00,2021-07-12 14:00:00,,no_future_low_band_window,5121
2021-07-12 14:45:00,2021-07-12 15:00:00,,no_future_low_band_window,1018
2021-07-12 15:15:00,2021-07-12 16:00:00,,no_future_low_band_window,1233
2021-07-12 17:00:00,2021-07-12 17:00:00,,no_future_low_band_window,509
2021-07-12 17:15:00,2021-07-12 18:00:00,,no_future_low_band_window,1047
2021-07-12 18:15:00,2021-07-12 19:00:00,,no_future_low_band_window,2885
2021-07-23 07:00:00,2021-07-23 07:00:00,,no_future_low_band_window,2387
2021-07-23 07:15:00,2021-07-23 08:00:00,,no_future_low_band_window,999
2021-07-23 08:15:00,2021-07-23 09:00:00,,no_future_low_band_window,1838
2021-07-23 09:15:00,2021-07-23 10:00:00,,no_future_low_band_window,1231
2021-07-23 10:15:00,2021-07-23 11:00:00,,no_future_low_band_window,1813
2021-07-23 12:15:00,2021-07-23 13:00:00,,no_future_low_band_window,979
2021-07-23 13:15:00,2021-07-23 14:00:00,,no_future_low_band_window,1335
2021-07-23 14:45:00,2021-07-23 15:00:00,,no_future_low_band_window,923
2021-07-23 15:15:00,2021-07-23 16:00:00,,no_future_low_band_window,6161
2021-07-23 16:45:00,2021-07-23 17:00:00,,no_future_low_band_window,555
2021-07-23 17:15:00,2021-07-23 18:00:00,,no_future_low_band_window,1693
2021-07-23 18:15:00,2021-07-23 19:00:00,,no_future_low_band_window,2039
2021-07-26 07:15:00,2021-07-26 08:00:00,,no_future_low_band_window,805
2021-07-26 08:15:00,2021-07-26 09:00:00,,no_future_low_band_window,1283
2021-07-26 09:15:00,2021-07-26 10:00:00,,no_future_low_band_window,1149
2021-07-26 10:15:00,2021-07-26 11:00:00,,no_future_low_band_window,3069
2021-07-26 12:15:00,2021-07-26 13:00:00,,no_future_low_band_window,1969
2021-07-26 13:15:00,2021-07-26 14:00:00,,no_future_low_band_window,669
2021-07-26 14:45:00,2021-07-26 15:00:00,,no_future_low_band_window,2463
2021-07-26 15:15:00,2021-07-26 16:00:00,,no_future_low_band_window,1238
