slot,eligible_dates,events,rate,selected,fold,horizon
20,95,0,0.0,False,2,96
21,95,0,0.0,False,2,96
22,95,0,0.0,False,2,96
23,95,2,0.021052631578947368,False,2,96
24,95,0,0.0,False,2,96
25,95,0,0.0,False,2,96
26,95,0,0.0,False,2,96
27,95,0,0.0,False,2,96
28,95,0,0.0,False,2,96
29,95,0,0.0,False,2,96
30,95,0,0.0,False,2,96
31,95,4,0.042105263157894736,False,2,96
32,95,6,0.06315789473684211,False,2,96
33,95,8,0.08421052631578947,False,2,96
34,95,0,0.0,False,2,96
35,95,0,0.0,False,2,96
36,95,0,0.0,False,2,96
37,95,0,0.0,False,2,96
38,95,0,0.0,False,2,96
39,95,0,0.0,False,2,96
40,95,0,0.0,False,2,96
41,95,0,0.0,False,2,96
42,95,0,0.0,False,2,96
43,95,0,0.0,False,2,96
44,95,0,0.0,False,2,96
45,95,0,0.0,False,2,96
46,95,0,0.0,False,2,96
47,95,0,0.0,False,2,96
48,95,0,0.0,False,2,96
49,95,0,0.0,False,2,96
50,95,0,0.0,False,2,96
51,95,0,0.0,False,2,96
52,95,6,0.06315789473684211,False,2,96
53,95,0,0.0,False,2,96
54,95,0,0.0,False,2,96
55,95,0,0.0,False,2,96
56,95,0,0.0,False,2,96
57,95,0,0.0,False,2,96
58,95,0,0.0,False,2,96
59,95,0,0.0,False,2,96
60,95,0,0.0,False,2,96
61,95,0,0.0,False,2,96
62,95,0,0.0,False,2,96
63,95,0,0.0,False,2,96
64,95,0,0.0,False,2,96
65,95,0,0.0,False,2,96
66,95,0,0.0,False,2,96
67,95,0,0.0,False,2,96
68,95,0,0.0,False,2,96
69,95,0,0.0,False,2,96
70,95,0,0.0,False,2,96
71,95,0,0.0,False,2,96
72,95,0,0.0,False,2,96
73,95,0,0.0,False,2,96
74,95,0,0.0,False,2,96
75,95,0,0.0,False,2,96
76,95,0,0.0,False,2,96
77,95,0,0.0,False,2,96
78,95,0,0.0,False,2,96
79,95,0,0.0,False,2,96
80,95,0,0.0,False,2,96
81,95,0,0.0,False,2,96
82,95,0,0.0,False,2,96
83,95,0,0.0,False,2,96
84,95,0,0.0,False,2,96
85,95,0,0.0,False,2,96
86,95,0,0.0,False,2,96
87,95,0,0.0,False,2,96
88,95,0,0.0,False,2,96
89,95,0,0.0,False,2,96
90,95,0,0.0,False,2,96
91,95,0,0.0,False,2,96
92,95,0,0.0,False,2,96
93,95,0,0.0,False,2,96
94,95,0,0.0,False,2,96
95,95,0,0.0,False,2,96
