origin,target_time,horizon,fold,y,cbl_pred,tau,lgbm_pred,pred,day_type,slot,cbl_abs_error,lgbm_abs_error,error_diff_lgbm_minus_cbl,restart
2021-06-14 10:45:00,2021-06-15 10:45:00,96,1,181.0,171.5,177.0,144.08441662258835,144.08441662258835,workday,43,9.5,36.91558337741165,27.41558337741165,False
2021-06-14 11:00:00,2021-06-15 11:00:00,96,1,164.0,170.0,177.0,158.1337533273668,158.1337533273668,workday,44,6.0,5.866246672633196,-0.13375332736680434,False
2021-06-14 11:15:00,2021-06-15 11:15:00,96,1,162.0,168.5,177.0,159.3888829105755,159.3888829105755,workday,45,6.5,2.6111170894245106,-3.8888829105754894,False
2021-06-14 11:30:00,2021-06-15 11:30:00,96,1,180.0,162.0,177.0,159.3888829105755,159.3888829105755,workday,46,18.0,20.61111708942451,2.6111170894245106,False
2021-06-14 11:45:00,2021-06-15 11:45:00,96,1,167.0,166.5,177.0,159.13808530556094,159.13808530556094,workday,47,0.5,7.861914694439065,7.361914694439065,False
2021-06-14 12:00:00,2021-06-15 12:00:00,96,1,184.0,164.5,177.0,159.13808530556094,159.13808530556094,workday,48,19.5,24.861914694439065,5.361914694439065,False
2021-06-14 12:15:00,2021-06-15 12:15:00,96,1,128.0,109.0,177.0,109.22689162654795,109.22689162654795,workday,49,19.0,18.773108373452047,-0.22689162654795325,False
2021-06-14 12:30:00,2021-06-15 12:30:00,96,1,105.0,91.5,177.0,98.7947730733559,98.7947730733559,workday,50,13.5,6.205226926644102,-7.294773073355898,False
2021-06-14 12:45:00,2021-06-15 12:45:00,96,1,92.0,93.0,177.0,91.56394662303587,91.56394662303587,workday,51,1.0,0.43605337696412505,-0.563946623035875,False
2021-06-14 13:00:00,2021-06-15 13:00:00,96,1,122.0,122.5,177.0,119.3399454465766,119.3399454465766,workday,52,0.5,2.660054553423393,2.160054553423393,False
2021-06-14 13:15:00,2021-06-15 13:15:00,96,1,168.0,159.16666666666666,177.0,159.13808530556094,159.13808530556094,workday,53,8.833333333333343,8.861914694439065,0.02858136110572218,False
2021-06-14 13:30:00,2021-06-15 13:30:00,96,1,177.0,164.5,177.0,159.13808530556094,159.13808530556094,workday,54,12.5,17.861914694439065,5.361914694439065,False
2021-06-14 13:45:00,2021-06-15 13:45:00,96,1,170.0,166.33333333333334,177.0,159.13808530556094,159.13808530556094,workday,55,3.666666666666657,10.861914694439065,7.195248027772408,False
2021-06-14 14:00:00,2021-06-15 14:00:00,96,1,170.0,161.16666666666666,177.0,159.13808530556094,159.13808530556094,workday,56,8.833333333333343,10.861914694439065,2.028581361105722,False
2021-06-14 14:15:00,2021-06-15 14:15:00,96,1,182.0,160.33333333333334,177.0,159.13808530556094,159.13808530556094,workday,57,21.666666666666657,22.861914694439065,1.1952480277724078,False
2021-06-14 14:30:00,2021-06-15 14:30:00,96,1,181.0,161.0,177.0,159.13808530556094,159.13808530556094,workday,58,20.0,21.861914694439065,1.861914694439065,False
2021-06-14 14:45:00,2021-06-15 14:45:00,96,1,173.0,163.83333333333334,177.0,159.13808530556094,159.13808530556094,workday,59,9.166666666666657,13.861914694439065,4.695248027772408,False
2021-06-14 15:00:00,2021-06-15 15:00:00,96,1,172.0,165.83333333333334,177.0,159.13808530556094,159.13808530556094,workday,60,6.166666666666657,12.861914694439065,6.695248027772408,False
2021-06-14 15:15:00,2021-06-15 15:15:00,96,1,137.0,130.5,177.0,139.09478372540454,139.09478372540454,workday,61,6.5,2.0947837254045396,-4.40521627459546,False
2021-06-14 15:30:00,2021-06-15 15:30:00,96,1,168.0,160.33333333333334,177.0,159.13808530556094,159.13808530556094,workday,62,7.666666666666657,8.861914694439065,1.1952480277724078,False
2021-06-14 15:45:00,2021-06-15 15:45:00,96,1,171.0,157.66666666666666,177.0,158.66296171677746,158.66296171677746,workday,63,13.333333333333343,12.33703828322254,-0.9962950501108025,False
2021-06-14 16:00:00,2021-06-15 16:00:00,96,1,176.0,158.66666666666666,177.0,158.55067547421058,158.55067547421058,workday,64,17.333333333333343,17.44932452578942,0.1159911924560788,False
2021-06-14 16:15:00,2021-06-15 16:15:00,96,1,166.0,155.0,177.0,157.2955458910019,157.2955458910019,workday,65,11.0,8.704454108998107,-2.2955458910018933,False
2021-06-14 16:30:00,2021-06-15 16:30:00,96,1,172.0,155.33333333333334,177.0,158.55067547421058,158.55067547421058,workday,66,16.666666666666657,13.449324525789422,-3.2173421408772356,False
2021-06-14 16:45:00,2021-06-15 16:45:00,96,1,181.0,158.33333333333334,177.0,158.55067547421058,158.55067547421058,workday,67,22.666666666666657,22.44932452578942,-0.21734214087723558,False
2021-06-14 17:00:00,2021-06-15 17:00:00,96,1,160.0,156.83333333333334,177.0,157.2955458910019,157.2955458910019,workday,68,3.166666666666657,2.7044541089981067,-0.4622125576685505,False
2021-06-14 17:15:00,2021-06-15 17:15:00,96,1,118.0,118.5,177.0,126.5949716217734,126.5949716217734,workday,69,0.5,8.594971621773396,8.094971621773396,False
2021-06-14 17:30:00,2021-06-15 17:30:00,96,1,108.0,108.5,177.0,106.54927433542632,106.54927433542632,workday,70,0.5,1.4507256645736817,0.9507256645736817,False
2021-06-14 17:45:00,2021-06-15 17:45:00,96,1,149.0,142.0,177.0,150.11979275801508,150.11979275801508,workday,71,7.0,1.1197927580150804,-5.88020724198492,False
2021-06-14 18:00:00,2021-06-15 18:00:00,96,1,159.0,155.83333333333334,177.0,158.55067547421058,158.55067547421058,workday,72,3.166666666666657,0.4493245257894216,-2.7173421408772356,False
2021-06-14 18:15:00,2021-06-15 18:15:00,96,1,161.0,152.66666666666666,177.0,157.2955458910019,157.2955458910019,workday,73,8.333333333333343,3.7044541089981067,-4.628879224335236,False
2021-06-14 18:30:00,2021-06-15 18:30:00,96,1,161.0,148.66666666666666,177.0,158.55067547421058,158.55067547421058,workday,74,12.333333333333343,2.4493245257894216,-9.884008807543921,False
2021-06-14 18:45:00,2021-06-15 18:45:00,96,1,153.0,145.66666666666666,177.0,157.2955458910019,157.2955458910019,workday,75,7.333333333333343,4.295545891001893,-3.0377874423314495,False
2021-06-14 19:00:00,2021-06-15 19:00:00,96,1,170.0,143.33333333333334,177.0,155.77228036316149,155.77228036316149,workday,76,26.666666666666657,14.227719636838515,-12.438947029828142,False
2021-06-14 19:15:00,2021-06-15 19:15:00,96,1,162.0,141.33333333333334,177.0,158.55067547421058,158.55067547421058,workday,77,20.666666666666657,3.4493245257894216,-17.217342140877236,False
2021-06-14 19:30:00,2021-06-15 19:30:00,96,1,159.0,135.66666666666666,177.0,150.78604374782284,150.78604374782284,workday,78,23.333333333333343,8.213956252177155,-15.119377081156188,False
2021-06-14 19:45:00,2021-06-15 19:45:00,96,1,154.0,131.33333333333334,177.0,141.20244690328772,141.20244690328772,workday,79,22.666666666666657,12.797553096712278,-9.86911356995438,False
2021-06-14 20:00:00,2021-06-15 20:00:00,96,1,147.0,118.33333333333331,177.0,125.92872063196562,125.92872063196562,workday,80,28.666666666666686,21.071279368034382,-7.595387298632303,False
2021-06-14 20:15:00,2021-06-15 20:15:00,96,1,133.0,111.16666666666669,177.0,118.59764341818698,118.59764341818698,workday,81,21.833333333333314,14.402356581813024,-7.430976751520291,False
2021-06-14 20:30:00,2021-06-15 20:30:00,96,1,131.0,118.66666666666669,177.0,125.92872063196562,125.92872063196562,workday,82,12.333333333333314,5.071279368034382,-7.262053965298932,False
2021-06-14 20:45:00,2021-06-15 20:45:00,96,1,127.0,117.16666666666669,177.0,111.99537300686784,111.99537300686784,workday,83,9.833333333333314,15.004626993132163,5.171293659798849,False
2021-06-14 21:00:00,2021-06-15 21:00:00,96,1,120.0,117.33333333333331,177.0,125.92872063196562,125.92872063196562,workday,84,2.6666666666666856,5.928720631965618,3.262053965298932,False
2021-06-14 21:15:00,2021-06-15 21:15:00,96,1,124.0,117.33333333333331,177.0,123.87168685061036,123.87168685061036,workday,85,6.666666666666686,0.12831314938964056,-6.538353517277045,False
2021-06-14 21:30:00,2021-06-15 21:30:00,96,1,131.0,115.5,177.0,117.60971248885896,117.60971248885896,workday,86,15.5,13.39028751114104,-2.1097124888589605,False
2021-06-14 21:45:00,2021-06-15 21:45:00,96,1,129.0,114.66666666666669,177.0,111.99537300686784,111.99537300686784,workday,87,14.333333333333314,17.004626993132163,2.671293659798849,False
2021-06-14 22:00:00,2021-06-15 22:00:00,96,1,124.0,112.83333333333331,177.0,109.22689162654795,109.22689162654795,workday,88,11.166666666666686,14.773108373452047,3.606441706785361,False
2021-06-14 22:15:00,2021-06-15 22:15:00,96,1,108.0,94.33333333333331,177.0,90.71456783797863,90.71456783797863,workday,89,13.666666666666686,17.285432162021365,3.6187654953546797,False
2021-06-14 22:30:00,2021-06-15 22:30:00,96,1,111.0,107.33333333333331,177.0,102.2604828238495,102.2604828238495,workday,90,3.6666666666666856,8.7395171761505,5.072850509483814,False
