h4_fold,peak_start,peak_slot,horizon,origin,origin_on_history_grid,origin_has_clean_power,target_in_original_horizon_score,horizon_score_fold,slot_selected_from_horizon_fold_fit,analysis_role
2,2021-07-12 16:45:00,67,96,2021-07-11 16:45:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-23 08:30:00,34,16,2021-07-23 04:30:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-23 08:30:00,34,96,2021-07-22 08:30:00,True,True,False,,False,descriptive_coverage_only
2,2021-07-23 10:30:00,42,16,2021-07-23 06:30:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-23 10:30:00,42,96,2021-07-22 10:30:00,True,True,False,,False,descriptive_coverage_only
2,2021-07-23 13:30:00,54,16,2021-07-23 09:30:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-23 13:30:00,54,96,2021-07-22 13:30:00,True,True,False,,False,descriptive_coverage_only
2,2021-07-23 15:45:00,63,16,2021-07-23 11:45:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-23 15:45:00,63,96,2021-07-22 15:45:00,True,True,False,,False,descriptive_coverage_only
2,2021-07-23 18:00:00,72,16,2021-07-23 14:00:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-23 18:00:00,72,96,2021-07-22 18:00:00,True,True,False,,False,descriptive_coverage_only
2,2021-07-23 19:00:00,76,16,2021-07-23 15:00:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-23 19:00:00,76,96,2021-07-22 19:00:00,True,True,False,,False,descriptive_coverage_only
2,2021-07-26 08:15:00,33,16,2021-07-26 04:15:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-26 08:15:00,33,96,2021-07-25 08:15:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-26 10:30:00,42,16,2021-07-26 06:30:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-26 10:30:00,42,96,2021-07-25 10:30:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-26 13:30:00,54,16,2021-07-26 09:30:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-26 13:30:00,54,96,2021-07-25 13:30:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-26 14:15:00,57,16,2021-07-26 10:15:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-26 14:15:00,57,96,2021-07-25 14:15:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-26 15:45:00,63,16,2021-07-26 11:45:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-26 15:45:00,63,96,2021-07-25 15:45:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-26 16:45:00,67,16,2021-07-26 12:45:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-26 16:45:00,67,96,2021-07-25 16:45:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-26 18:15:00,73,16,2021-07-26 14:15:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-26 18:15:00,73,96,2021-07-25 18:15:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-26 19:30:00,78,16,2021-07-26 15:30:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-26 19:30:00,78,96,2021-07-25 19:30:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-27 08:15:00,33,16,2021-07-27 04:15:00,True,True,True,2.0,False,descriptive_coverage_only
