analysis,horizon,fold,day_type,slot,restart,n,peak_n,cbl_mae,lgbm_mae,error_diff_lgbm_minus_cbl
A4,16,0,workday,28,False,20,0,28.48333333333333,12.12018228762991,-16.363151045703425
A4,16,0,workday,29,False,20,0,26.183333333333326,9.209019761873515,-16.974313571459817
A4,16,0,workday,30,False,20,0,25.641666666666662,9.900638068984323,-15.74102859768234
A4,16,0,workday,31,False,19,0,22.324561403508767,28.100384587370915,5.775823183862141
A4,16,0,workday,31,True,1,0,60.0,16.709001196792556,-43.290998803207444
A4,16,0,workday,32,False,20,0,13.466666666666663,34.44558033804167,20.978913671375008
A4,16,0,workday,33,False,20,0,6.058333333333332,46.30794432709918,40.24961099376585
A4,16,0,workday,34,False,19,5,5.956140350877194,55.87573848852704,49.91959813764985
A4,16,0,workday,35,False,19,6,10.982456140350878,57.24778169549175,46.265325555140876
A4,16,0,workday,36,False,19,6,11.692982456140353,53.12171010675217,41.42872765061181
A4,16,0,workday,37,False,19,2,5.394736842105263,44.72146010046025,39.326723258354995
A4,16,0,workday,38,False,19,2,11.824561403508772,44.24726250064132,32.422701097132546
A4,16,0,workday,39,False,19,2,7.894736842105263,46.4938480261757,38.59911118407044
A4,16,0,workday,40,False,19,2,10.201754385964911,44.30720692101356,34.10545253504864
A4,16,0,workday,41,False,19,0,5.798245614035089,31.197666186034528,25.399420571999443
A4,16,0,workday,42,False,19,0,8.228070175438594,48.09673268373393,39.868662508295344
A4,16,0,workday,43,False,19,0,4.5175438596491215,48.156100761695285,43.63855690204616
A4,16,0,workday,44,False,19,1,4.964912280701752,54.03632758328453,49.07141530258277
A4,16,0,workday,45,False,19,1,3.6052631578947385,49.35232822793484,45.747065070040115
A4,16,0,workday,46,False,19,1,5.561403508771929,41.7145288792189,36.15312537044696
A4,16,0,workday,47,False,19,1,6.570175438596489,23.95563714251192,17.385461703915432
A4,16,0,workday,48,False,19,1,9.666666666666668,19.438566520121192,9.771899853454524
A4,16,0,workday,49,False,19,0,4.070175438596484,8.088661772095037,4.018486333498553
A4,16,0,workday,50,False,19,0,6.815789473684211,12.955624106809395,6.139834633125185
A4,16,0,workday,51,False,19,0,6.938596491228071,11.772187460528833,4.833590969300763
A4,16,0,workday,52,False,19,0,9.28947368421053,12.048897583389849,2.759423899179318
A4,16,0,workday,53,False,19,4,14.82456140350877,28.284468887199225,13.45990748369045
A4,16,0,workday,54,False,19,4,11.070175438596491,27.281598899554524,16.211423460958034
A4,16,0,workday,55,False,19,3,8.631578947368423,27.40359518513219,18.772016237763765
A4,16,0,workday,56,False,19,2,6.315789473684208,28.43240419070858,22.116614717024376
A4,16,0,workday,57,False,19,0,6.087719298245612,30.90602995053417,24.81831065228855
A4,16,0,workday,58,False,19,0,7.4824561403508785,27.370191692555206,19.887735552204322
A4,16,0,workday,59,False,19,0,4.105263157894738,26.06924290802497,21.963979750130232
A4,16,0,workday,60,False,19,1,7.4298245614035086,29.9099185441405,22.480093982736992
A4,16,0,workday,61,False,19,0,4.736842105263161,9.911736075497311,5.1748939702341525
A4,16,0,workday,62,False,19,0,10.780701754385962,24.772000722032082,13.991298967646117
A4,16,0,workday,63,False,19,3,10.078947368421055,25.927647020619748,15.848699652198691
A4,16,0,workday,64,False,19,0,9.877192982456142,22.272001257290018,12.394808274833878
A4,16,0,workday,65,False,19,0,8.798245614035087,24.259982476594807,15.461736862559723
A4,16,0,workday,66,False,19,0,8.359649122807017,24.27592041506605,15.916271292259033
A4,16,0,workday,67,False,19,0,6.850877192982459,18.760670136416,11.909792943433544
A4,16,0,workday,68,False,19,0,6.385964912280702,23.0790354573307,16.693070545049995
A4,16,0,workday,69,False,19,0,3.368421052631576,8.947198344715275,5.578777292083699
A4,16,0,workday,70,False,19,0,6.315789473684211,11.44839730748377,5.132607833799558
A4,16,0,workday,71,False,19,0,11.745614035087721,16.00258192169074,4.256967886603021
A4,16,0,workday,72,False,19,0,10.570175438596493,16.90534212533652,6.3351666867400285
A4,16,0,workday,73,False,19,0,10.745614035087721,22.879465465361502,12.133851430273783
A4,16,0,workday,74,False,19,0,9.81578947368421,30.309967052594,20.494177578909788
A4,16,0,workday,75,False,19,0,11.280701754385964,23.570178233009063,12.289476478623094
A4,16,0,workday,76,False,19,0,15.026315789473685,26.894651134945033,11.868335345471348
A4,16,0,workday,77,False,19,0,17.31578947368421,22.05103694351634,4.735247469832127
A4,16,0,workday,78,False,19,0,17.614035087719298,25.45290153431296,7.838866446593659
A4,16,0,workday,79,False,19,0,17.561403508771935,22.09866577876681,4.53726226999488
A4,16,0,workday,80,False,19,0,8.771929824561402,9.383280967522765,0.6113511429613636
A4,16,0,workday,81,False,19,0,6.052631578947374,10.049001281487921,3.9963697025405467
A4,16,0,workday,82,False,19,0,7.32456140350877,7.991418160112696,0.6668567566039268
A4,16,0,workday,83,False,19,0,8.649122807017548,10.49476585355341,1.8456430465358595
A4,16,0,workday,84,False,19,0,11.219298245614032,11.972525328214784,0.75322708260075
A4,16,0,workday,85,False,19,0,7.692982456140343,7.3779274265891,-0.315055029551243
A4,16,0,workday,86,False,19,0,6.921052631578938,7.972935489589385,1.0518828580104456
A4,16,0,workday,87,False,20,0,5.716666666666666,6.904004539225585,1.1873378725589183
A4,16,0,workday,88,False,20,0,4.808333333333328,5.6145071832964,0.8061738499630714
A4,16,0,workday,89,False,20,0,4.883333333333334,10.919876215136707,6.036542881803373
A4,16,0,workday,90,False,20,0,7.999999999999997,8.466293418270098,0.4662934182701008
A4,16,0,workday,91,False,20,0,4.358333333333334,6.388199594460006,2.0298662611266716
A4,16,0,workday,92,False,20,0,4.816666666666668,6.954966766782403,2.1383001001157345
A4,16,0,workday,93,False,20,0,7.525000000000006,7.524575158153482,-0.0004248418465252257
A4,16,0,workday,94,False,20,0,5.991666666666669,9.05124047251645,3.0595738058497837
A4,16,0,workday,95,False,20,0,5.05,8.069814590596014,3.0198145905960123
A4,16,1,offday,0,False,9,0,3.675925925925927,10.412106756553817,6.736180830627887
A4,16,1,offday,1,False,9,0,23.166666666666668,6.727379340517469,-16.4392873261492
A4,16,1,offday,2,False,9,0,21.805555555555557,5.627499739643636,-16.178055815911918
A4,16,1,offday,3,False,9,0,20.833333333333332,5.681873407935168,-15.151459925398164
A4,16,1,offday,4,False,9,0,20.666666666666668,6.351080036856853,-14.315586629809811
A4,16,1,offday,5,False,8,0,36.65625,11.057186089336014,-25.599063910663986
A4,16,1,offday,5,True,1,0,37.0,9.947932145016722,-27.052067854983278
A4,16,1,offday,6,False,9,0,41.861111111111114,14.16310029043642,-27.698010820674693
A4,16,1,offday,7,False,9,0,44.861111111111114,15.983450740026557,-28.877660371084556
A4,16,1,offday,8,False,9,0,44.861111111111114,13.293942326332333,-31.567168784778783
A4,16,1,offday,9,False,9,0,43.416666666666664,11.966479934374755,-31.45018673229191
A4,16,1,offday,10,False,9,0,39.5,9.322442140256436,-30.177557859743565
A4,16,1,offday,11,False,9,0,40.083333333333336,11.263665700850321,-28.81966763248301
A4,16,1,offday,12,False,9,0,43.861111111111114,11.818815249171488,-32.04229586193962
A4,16,1,offday,13,False,9,0,35.77777777777778,11.81701824135066,-23.960759536427116
