fold,start,end,max_power,tau,slot,is_offday,selected_restart_slot
2,2021-07-09 11:45:00,2021-07-09 11:45:00,176.0,175.0,47,False,False
2,2021-07-09 13:30:00,2021-07-09 13:45:00,186.0,175.0,54,False,False
2,2021-07-09 14:30:00,2021-07-09 15:00:00,192.0,175.0,58,False,False
2,2021-07-09 15:45:00,2021-07-09 16:15:00,188.0,175.0,63,False,False
2,2021-07-12 08:30:00,2021-07-12 10:00:00,198.0,175.0,34,False,False
2,2021-07-12 10:30:00,2021-07-12 12:00:00,188.0,175.0,42,False,False
2,2021-07-12 13:45:00,2021-07-12 13:45:00,178.0,175.0,55,False,False
2,2021-07-12 14:15:00,2021-07-12 15:00:00,190.0,175.0,57,False,False
2,2021-07-12 15:45:00,2021-07-12 16:15:00,188.0,175.0,63,False,False
2,2021-07-12 16:45:00,2021-07-12 17:00:00,177.0,175.0,67,False,False
2,2021-07-23 08:30:00,2021-07-23 10:00:00,202.0,175.0,34,False,False
2,2021-07-23 10:30:00,2021-07-23 12:00:00,199.0,175.0,42,False,False
2,2021-07-23 13:30:00,2021-07-23 15:00:00,192.0,175.0,54,False,False
2,2021-07-23 15:45:00,2021-07-23 17:00:00,206.0,175.0,63,False,False
2,2021-07-23 18:00:00,2021-07-23 18:00:00,178.0,175.0,72,False,False
2,2021-07-23 19:00:00,2021-07-23 19:00:00,176.0,175.0,76,False,False
2,2021-07-26 08:15:00,2021-07-26 10:00:00,217.0,175.0,33,False,False
2,2021-07-26 10:30:00,2021-07-26 12:00:00,207.0,175.0,42,False,False
2,2021-07-26 13:30:00,2021-07-26 13:45:00,180.0,175.0,54,False,False
2,2021-07-26 14:15:00,2021-07-26 15:00:00,199.0,175.0,57,False,False
2,2021-07-26 15:45:00,2021-07-26 16:00:00,180.0,175.0,63,False,False
2,2021-07-26 16:45:00,2021-07-26 16:45:00,177.0,175.0,67,False,False
2,2021-07-26 18:15:00,2021-07-26 18:30:00,186.0,175.0,73,False,False
2,2021-07-26 19:30:00,2021-07-26 19:30:00,177.0,175.0,78,False,False
2,2021-07-27 08:15:00,2021-07-27 09:00:00,207.0,175.0,33,False,False
2,2021-07-27 09:45:00,2021-07-27 10:00:00,192.0,175.0,39,False,False
2,2021-07-27 10:30:00,2021-07-27 12:00:00,211.0,175.0,42,False,False
2,2021-07-27 13:30:00,2021-07-27 15:00:00,199.0,175.0,54,False,False
2,2021-07-27 15:45:00,2021-07-27 17:00:00,201.0,175.0,63,False,False
2,2021-07-27 18:00:00,2021-07-27 18:00:00,184.0,175.0,72,False,False
2,2021-07-27 19:45:00,2021-07-27 19:45:00,180.0,175.0,79,False,False
2,2021-07-28 08:15:00,2021-07-28 10:00:00,204.0,175.0,33,False,False
2,2021-07-28 10:30:00,2021-07-28 12:00:00,212.0,175.0,42,False,False
2,2021-07-28 13:15:00,2021-07-28 15:00:00,203.0,175.0,53,False,False
2,2021-07-28 15:45:00,2021-07-28 16:30:00,187.0,175.0,63,False,False
2,2021-07-28 18:00:00,2021-07-28 19:00:00,190.0,175.0,72,False,False
2,2021-07-29 08:30:00,2021-07-29 10:00:00,205.0,175.0,34,False,False
2,2021-07-29 10:30:00,2021-07-29 12:00:00,211.0,175.0,42,False,False
2,2021-07-29 13:30:00,2021-07-29 14:00:00,206.0,175.0,54,False,False
2,2021-07-29 14:30:00,2021-07-29 15:00:00,201.0,175.0,58,False,False
2,2021-07-29 15:45:00,2021-07-29 16:00:00,186.0,175.0,63,False,False
2,2021-07-29 18:45:00,2021-07-29 19:00:00,180.0,175.0,75,False,False
2,2021-07-29 19:45:00,2021-07-29 19:45:00,181.0,175.0,79,False,False
2,2021-07-30 08:15:00,2021-07-30 10:00:00,204.0,175.0,33,False,False
2,2021-07-30 10:30:00,2021-07-30 12:00:00,212.0,175.0,42,False,False
2,2021-07-30 13:15:00,2021-07-30 15:00:00,203.0,175.0,53,False,False
2,2021-07-30 15:45:00,2021-07-30 16:30:00,187.0,175.0,63,False,False
2,2021-07-30 18:00:00,2021-07-30 19:00:00,190.0,175.0,72,False,False
2,2021-08-09 08:30:00,2021-08-09 09:30:00,215.0,175.0,34,False,False
